School,school_original,CountyReport,Number_of_Total_Cases,ReportDate,
Bel Air Elementary School,Bel Air Elementary School,Harford,10,8/4/2021,15:00:00+00
Gilpin Manor Elementary School,Gilpin Manor Elementary School,Cecil,2,8/4/2021,15:00:00+00
Harmony Hills Elementary School,Harmony Hills Elementary School,Montgomery,2,8/4/2021,15:00:00+00
Hope Academy,Hope Academy,Baltimore City,2,8/4/2021,15:00:00+00
Ivymount School,Ivymount School,Montgomery,3,8/4/2021,15:00:00+00
Oakdale Elementary School,Oakdale Elementary School,Frederick,2,8/4/2021,15:00:00+00
Pemberton Elementary School,Pemberton Elementary School,Wicomico,7,8/4/2021,15:00:00+00
Potomac Glen Day School,Potomac Glen Day School,Montgomery,4,8/4/2021,15:00:00+00
Bel Air Elementary School,Bel Air Elementary School,Harford,11,8/11/2021,15:00:00+00
Digital Harbor High School,Digital Harbor High School,Baltimore City,2,8/11/2021,15:00:00+00
Harmony Hills Elementary School,Harmony Hills Elementary School,Montgomery,2,8/11/2021,15:00:00+00
Hope Academy,Hope Academy,Baltimore City,2,8/11/2021,15:00:00+00
Ivymount School,Ivymount School,Montgomery,3,8/11/2021,15:00:00+00
Oakdale Elementary School,Oakdale Elementary School,Frederick,2,8/11/2021,15:00:00+00
Pemberton Elementary School,Pemberton Elementary School,Wicomico,8,8/11/2021,15:00:00+00
Potomac Glen Day School,Potomac Glen Day School,Montgomery,6,8/11/2021,15:00:00+00
Century High School,Century High School,Carroll,2,8/18/2021,15:00:00+00
Maryland School for the Blind,Maryland School for the Blind,Baltimore City,2,8/18/2021,15:00:00+00
Potomac Glen Day School,Potomac Glen Day School,Montgomery,6,8/18/2021,15:00:00+00
Winfield Elementary School,Winfield Elementary School,Carroll,3,8/18/2021,15:00:00+00
Butterfly Ridge Elementary School,Butterfly Ridge Elementary School,Frederick,2,8/25/2021,15:00:00+00
Century High School,Century High School,Carroll,2,8/25/2021,15:00:00+00
Gerstell Academy,Gerstell Academy,Carroll,2,8/25/2021,15:00:00+00
Hillcrest Elementary School,Hillcrest Elementary School,Frederick,2,8/25/2021,15:00:00+00
Lewistown Elementary School,Lewistown Elementary School,Frederick,3,8/25/2021,15:00:00+00
Maryland School for the Blind,Maryland School for the Blind,Baltimore City,2,8/25/2021,15:00:00+00
Orchard Grove Elementary School,Orchard Grove Elementary School,Frederick,2,8/25/2021,15:00:00+00
Parkside High School,Parkside High School,Wicomico,2,8/25/2021,15:00:00+00
Quince Orchard High School,Quince Orchard High School,Montgomery,24,8/25/2021,15:00:00+00
Reginald F. Lewis High School,Reginald F. Lewis High School,Baltimore City,2,8/25/2021,15:00:00+00
South Carroll High School,South Carroll High School,Carroll,2,8/25/2021,15:00:00+00
Stephen Decatur High School,Steven Decatur High School,Worcester,2,8/25/2021,15:00:00+00
Success Program,Success Program,Frederick,2,8/25/2021,15:00:00+00
Tuscarora Elementary School,Tuscarora Elementary School,Frederick,2,8/25/2021,15:00:00+00
Tuscarora High School,Tuscarora High School,Frederick,4,8/25/2021,15:00:00+00
Wicomico Day School,Wicomico Day School,Wicomico,2,8/25/2021,15:00:00+00
Wicomico High School,Wicomico High School,Wicomico,2,8/25/2021,15:00:00+00
Winfield Elementary School,Winfield Elementary School,Carroll,3,8/25/2021,15:00:00+00
Atholton Adventist Academy,Atholton Adventist Academy,Howard,2,9/1/2021,15:00:00+00
Bullis School - Football Team,Bullis School - Football Team,Montgomery,3,9/1/2021,15:00:00+00
Butterfly Ridge Elementary School,Butterfly Ridge Elementary School,Frederick,2,9/1/2021,15:00:00+00
Carroll Manor Elementary School,Carroll Manor Elementary School,Frederick,3,9/1/2021,15:00:00+00
Century High School,Century High School,Carroll,5,9/1/2021,15:00:00+00
Chopticon High School,Chopticon High School,St. Mary's,6,9/1/2021,15:00:00+00
Damascus High School,Damascus High School,Montgomery,2,9/1/2021,15:00:00+00
Dr. Henry A. Wise Jr. High School,Dr. Henry A. Wise Jr. High School,Prince George's,4,9/1/2021,15:00:00+00
Frederick Christian Academy,Frederick Christian Academy,Frederick,4,9/1/2021,15:00:00+00
Friends School of Baltimore,Friends School,Baltimore City,2,9/1/2021,15:00:00+00
Gerstell Academy,Gerstell Academy,Carroll,2,9/1/2021,15:00:00+00
Hancock Middle-Senior High School,Hancock Middle-Senior High School,Washington,3,9/1/2021,15:00:00+00
Hillcrest Elementary School,Hillcrest Elementary School,Frederick,2,9/1/2021,15:00:00+00
John L Gildner - RICA,John L Gildner - RICA,Montgomery,2,9/1/2021,15:00:00+00
Lewistown Elementary School,Lewistown Elementary School,Frederick,5,9/1/2021,15:00:00+00
Lillie May Jackson Charter Public School,Lillie May Jackson Charter Public School,Baltimore City,13,9/1/2021,15:00:00+00
Marriotts Ridge High School,Marriotts Ridge High School,Howard,4,9/1/2021,15:00:00+00
Monocacy Valley Montessori Public Charter School,Monocacy Valley Montessori Public Charter School,Frederick,2,9/1/2021,15:00:00+00
Orchard Grove Elementary School,Orchard Grove Elementary School,Frederick,2,9/1/2021,15:00:00+00
Parkside High School,Parkside High School,Wicomico,4,9/1/2021,15:00:00+00
Potomac High School,Potomac High School,Prince George's,2,9/1/2021,15:00:00+00
Quince Orchard High School,Quince Orchard High School,Montgomery,25,9/1/2021,15:00:00+00
Reid Temple Academy,Reid Temple Academy,Prince George's,3,9/1/2021,15:00:00+00
Seneca Valley High School,Seneca Valley High School,Montgomery,2,9/1/2021,15:00:00+00
South Carroll High School,South Carroll High School,Carroll,3,9/1/2021,15:00:00+00
St. John's School,St. John's School,St. Mary's,3,9/1/2021,15:00:00+00
Stephen Decatur High School,Steven Decatur High School,Worcester,4,9/1/2021,15:00:00+00
Success Program,Success Program,Frederick,2,9/1/2021,15:00:00+00
Thurmont Middle School,Thurmont Middle School,Frederick,2,9/1/2021,15:00:00+00
Tuscarora Elementary School,Tuscarora Elementary School,Frederick,2,9/1/2021,15:00:00+00
Tuscarora High School,Tuscarora High School,Frederick,5,9/1/2021,15:00:00+00
Walkersville High School,Walkersville High School,Frederick,3,9/1/2021,15:00:00+00
Westminster High School,Westminster High School,Carroll,2,9/1/2021,15:00:00+00
Wicomico Day School,Wicomico Day School,Wicomico,3,9/1/2021,15:00:00+00
Allegany High School,Allegany High School,Allegany,4,9/8/2021,15:00:00+00
Archbishop Neale School,Archbishop Neale School,Charles,2,9/8/2021,15:00:00+00
Arundel Christian School,Arundel Christian School,Anne Arundel,4,9/8/2021,15:00:00+00
Atholton Adventist Academy,Atholton Adventist Academy,Howard,2,9/8/2021,15:00:00+00
Ballenger Creek Middle School,Ballenger Creek Middle School,Frederick,4,9/8/2021,15:00:00+00
Blue Heron Elementary School,Blue Heron Elementary School,Frederick,2,9/8/2021,15:00:00+00
Bohemia Manor High School,Bohemia Manor High School,Cecil,3,9/8/2021,15:00:00+00
Braddock Middle School,Braddock Middle School,Allegany,2,9/8/2021,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,2,9/8/2021,15:00:00+00
Brunswick High School,Brunswick High School,Frederick,2,9/8/2021,15:00:00+00
Burning Tree Elementary School,Burning Tree Elementary School,Montgomery,2,9/8/2021,15:00:00+00
C. Milton Wright High School,C. Milton Wright High School,Harford,3,9/8/2021,15:00:00+00
Carroll Manor Elementary School,Carroll Manor Elementary School,Frederick,3,9/8/2021,15:00:00+00
Century High School,Century High School,Carroll,6,9/8/2021,15:00:00+00
Chopticon High School,Chopticon High School,St. Mary's,7,9/8/2021,15:00:00+00
Dayton Elementary School,Dayton Elementary School,Howard,2,9/8/2021,15:00:00+00
Dr. Henry A. Wise Jr. High School,Dr. Henry A. Wise Jr. High School,Prince George's,7,9/8/2021,15:00:00+00
Ducketts Lane Elementary School,Ducketts Lane Elementary School,Howard,2,9/8/2021,15:00:00+00
Fort Hill High School,Fort Hill High School,Allegany,4,9/8/2021,15:00:00+00
Frederick Christian Academy,Frederick Christian Academy,Frederick,4,9/8/2021,15:00:00+00
Friends School of Baltimore,Friends School,Baltimore City,2,9/8/2021,15:00:00+00
Glade Elementary School,Glade Elementary School,Frederick,4,9/8/2021,15:00:00+00
Glen Burnie High School,Glen Burnie High School,Anne Arundel,3,9/8/2021,15:00:00+00
Hammond High School,Hammond High School,Howard,2,9/8/2021,15:00:00+00
Hancock Middle-Senior High School,Hancock Middle-Senior High School,Washington,3,9/8/2021,15:00:00+00
John Carroll High School,John Carroll School,Harford,5,9/8/2021,15:00:00+00
Kent Island High School,Kent Island High School,Queen Anne's,3,9/8/2021,15:00:00+00
Lewistown Elementary School,Lewistown Elementary School,Frederick,5,9/8/2021,15:00:00+00
Lillie May Jackson Charter Public School,Lillie May Jackson Charter Public School,Baltimore City,16,9/8/2021,15:00:00+00
Linganore High School,Linganore High School,Frederick,3,9/8/2021,15:00:00+00
Marriotts Ridge High School,Marriotts Ridge High School,Howard,4,9/8/2021,15:00:00+00
Monocacy Elementary School,Monocacy Elementary School,Frederick,3,9/8/2021,15:00:00+00
Old Forge Elementary School,Old Forge Elementary School,Washington,2,9/8/2021,15:00:00+00
Parkside High School,Parkside High School,Wicomico,15,9/8/2021,15:00:00+00
Potomac High School,Potomac High School,Prince George's,2,9/8/2021,15:00:00+00
Quince Orchard High School,Quince Orchard High School,Montgomery,25,9/8/2021,15:00:00+00
Randallstown High School,Randallstown High School,Baltimore,2,9/8/2021,15:00:00+00
Reid Temple Academy,Reid Temple Academy,Prince George's,3,9/8/2021,15:00:00+00
River Hill High School,River Hill High School,Howard,2,9/8/2021,15:00:00+00
Saint Frances Academy,Saint Frances Academy,Baltimore City,2,9/8/2021,15:00:00+00
St. John's School,St. John's School,St. Mary's,5,9/8/2021,15:00:00+00
St. Paul's Lutheran School,St. Paul's Lutheran School,Anne Arundel,4,9/8/2021,15:00:00+00
St. Philip-Neri School,St. Philip-Neri School,Anne Arundel,2,9/8/2021,15:00:00+00
Stephen Decatur High School,Steven Decatur High School,Worcester,6,9/8/2021,15:00:00+00
The Key School,The Key School,Anne Arundel,4,9/8/2021,15:00:00+00
Thurmont Middle School,Thurmont Middle School,Frederick,11,9/8/2021,15:00:00+00
Trinity School,Trinity School,Howard,2,9/8/2021,15:00:00+00
Walkersville High School,Walkersville High School,Frederick,4,9/8/2021,15:00:00+00
Westminster High School,Westminster High School,Carroll,2,9/8/2021,15:00:00+00
Whittier Elementary School,Whittier Elementary School,Frederick,2,9/8/2021,15:00:00+00
Wicomico Day School,Wicomico Day School,Wicomico,5,9/8/2021,15:00:00+00
Woodlawn High School,Woodlawn High School,Baltimore,4,9/8/2021,15:00:00+00
Archbishop Curley High School,Arch Bishop Curley High School,Baltimore City,2,9/15/2021,15:00:00+00
Archbishop Neale School,Archbishop Neale School,Charles,2,9/15/2021,15:00:00+00
Arundel Christian School,Arundel Christian School,Anne Arundel,6,9/15/2021,15:00:00+00
Ballenger Creek Middle School,Ballenger Creek Middle School,Frederick,4,9/15/2021,15:00:00+00
Bellows Spring Elementary School,Bellow Springs Elementary School,Howard,2,9/15/2021,15:00:00+00
Bohemia Manor High School,Bohemia Manor High School,Cecil,3,9/15/2021,15:00:00+00
Broadfording Christian Academy,Broadfording Christian Academy,Washington,19,9/15/2021,15:00:00+00
Broadneck High School,Broadneck High School,Anne Arundel,2,9/15/2021,15:00:00+00
Brunswick Elementary School,Brunswick Elementary School,Frederick,5,9/15/2021,15:00:00+00
Brunswick High School,Brunswick High School,Frederick,2,9/15/2021,15:00:00+00
Bryant Woods Elementary School,Bryant Woods Elementary School,Howard,4,9/15/2021,15:00:00+00
Burning Tree Elementary School,Burning Tree Elementary School,Montgomery,2,9/15/2021,15:00:00+00
C. Milton Wright High School,C. Milton Wright High School,Harford,3,9/15/2021,15:00:00+00
Calvert Hall College High School,Calvert Hall College High School,Baltimore,2,9/15/2021,15:00:00+00
Career Center for Technical Education,Career Center for Technical Education,Allegany,2,9/15/2021,15:00:00+00
Carter G.  Woodson Elementary School,Carter G Woodson Elementary,Somerset,4,9/15/2021,15:00:00+00
Cedarmere Elementary School,Cedarmere Elementary School,Baltimore,6,9/15/2021,15:00:00+00
Chopticon High School,Chopticon High School,St. Mary's,12,9/15/2021,15:00:00+00
Church Lane Elementary School,Church Lane Elementary School,Baltimore,5,9/15/2021,15:00:00+00
Columbia Academy Elementary and Middle School,Columbia Academy Elementary and Middle School,Howard,3,9/15/2021,15:00:00+00
Dayton Elementary School,Dayton Elementary School,Howard,2,9/15/2021,15:00:00+00
Divine Mercy Academy,Divine Mercy Academy,Anne Arundel,7,9/15/2021,15:00:00+00
Don Bosco Cristo Rey High School,Don Bosco Cristo Rey High School,Montgomery,2,9/15/2021,15:00:00+00
Dr. Henry A. Wise Jr. High School,Dr. Henry A. Wise Jr. High School,Prince George's,8,9/15/2021,15:00:00+00
Ducketts Lane Elementary School,Ducketts Lane Elementary School,Howard,2,9/15/2021,15:00:00+00
Emmitsburg Elementary School,Emmitsburg Elementary School,Frederick,2,9/15/2021,15:00:00+00
Folly Quarter Middle School,Folly Quarter Middle School,Howard,2,9/15/2021,15:00:00+00
Fort Hill High School,Fort Hill High School,Allegany,8,9/15/2021,15:00:00+00
Franklin Middle School,Franklin Middle School,Baltimore,2,9/15/2021,15:00:00+00
Frederick High School,Frederick High School,Frederick,2,9/15/2021,15:00:00+00
Friends School of Baltimore,Friends School,Baltimore City,4,9/15/2021,15:00:00+00
Glade Elementary School,Glade Elementary School,Frederick,4,9/15/2021,15:00:00+00
Glen Burnie High School,Glen Burnie High School,Anne Arundel,3,9/15/2021,15:00:00+00
Great Mills High School,Great Mills High School,St. Mary's,4,9/15/2021,15:00:00+00
Green Holly Elementary School,Green Holly Elementary School,St. Mary's,2,9/15/2021,15:00:00+00
Gwynn Park High School,Gwynn Park High School,Prince George's,11,9/15/2021,15:00:00+00
Hammond Elementary School,Hammond Elementary School,Howard,3,9/15/2021,15:00:00+00
Hammond High School,Hammond High School,Howard,2,9/15/2021,15:00:00+00
Harford Technical High School,Harford Technical High School,Harford,4,9/15/2021,15:00:00+00
Havre de Grace Elementary School,Haver De Grace Elementary School,Harford,2,9/15/2021,15:00:00+00
Joppatowne High School,Joppatowne High School,Harford,2,9/15/2021,15:00:00+00
Kent Island Elementary School,Kent Island Elementary School,Queen Anne's,2,9/15/2021,15:00:00+00
Kent Island High School,Kent Island High School,Queen Anne's,4,9/15/2021,15:00:00+00
Laurel Woods Elementary School,Laurelwood Elementary School,Howard,2,9/15/2021,15:00:00+00
Leonardtown Elementary School,Leonardtown Elementary School,St. Mary's,4,9/15/2021,15:00:00+00
Leonardtown High School,Leonardtown High School,St. Mary's,6,9/15/2021,15:00:00+00
Lillie May Jackson Charter Public School,Lillie May Jackson Charter Public School,Baltimore City,16,9/15/2021,15:00:00+00
Margaret Brent Middle School,Margaret Brent Middle School,St. Mary's,7,9/15/2021,15:00:00+00
Maryland School for the Deaf,Maryland School for the Deaf,Frederick,2,9/15/2021,15:00:00+00
Middletown Elementary School,Middletown Elementary,Frederick,2,9/15/2021,15:00:00+00
Milford Mill Academy,Milford Mill Academy,Baltimore,3,9/15/2021,15:00:00+00
Monocacy Elementary School,Monocacy Elementary School,Frederick,3,9/15/2021,15:00:00+00
Monsignor Slade Catholic School,Monsignor Slade Catholic School,Anne Arundel,2,9/15/2021,15:00:00+00
Mount Savage School,Mount Savage School,Allegany,2,9/15/2021,15:00:00+00
Mountain Ridge High School,Mountain Ridge High School,Allegany,6,9/15/2021,15:00:00+00
Myersville Elementary School,Myersville Elementary School,Frederick,2,9/15/2021,15:00:00+00
New Life Christian School,New Life Christian School,Frederick,2,9/15/2021,15:00:00+00
Northeast High School,Northeast High School,Anne Arundel,6,9/15/2021,15:00:00+00
Northern Middle School,Northern Middle School,Washington,8,9/15/2021,15:00:00+00
Oakdale Middle School,Oakdale Middle School,Frederick,2,9/15/2021,15:00:00+00
Old Forge Elementary School,Old Forge Elementary School,Washington,2,9/15/2021,15:00:00+00
Orchard Grove Elementary School,Orchard Groves Elementary School,Frederick,2,9/15/2021,15:00:00+00
Parkside High School,Parkside High School,Wicomico,18,9/15/2021,15:00:00+00
Patapsco High School,Patapsco High School,Baltimore,3,9/15/2021,15:00:00+00
Pine Grove Elementary School,Pine Grove Elementary School,Baltimore,2,9/15/2021,15:00:00+00
Piney Point Elementary School,Piney Point Elementary School,St. Mary's,7,9/15/2021,15:00:00+00
Plum Point Elementary School,Plum Point Elementary School,Calvert,8,9/15/2021,15:00:00+00
Ridgely Elementary School,Ridgely Elementary School,Caroline,3,9/15/2021,15:00:00+00
River Hill High School,River Hill High School,Howard,2,9/15/2021,15:00:00+00
Saint Frances Academy,Saint Frances Academy,Baltimore City,2,9/15/2021,15:00:00+00
Seven Oaks Elementary School,Seven Oaks Elementary School,Baltimore,2,9/15/2021,15:00:00+00
Severn School,Severn School,Anne Arundel,2,9/15/2021,15:00:00+00
Showell Elementary School,Showell Elementary School,Worcester,2,9/15/2021,15:00:00+00
Somerset Intermediate School,Somerset Intermediate School,Somerset,12,9/15/2021,15:00:00+00
South Penn Elementary School,South Penn Elementary School,Allegany,9,9/15/2021,15:00:00+00
Springfield Middle School,Springfield Middle School,Washington,2,9/15/2021,15:00:00+00
St. John Regional Catholic School,St. John Regional Catholic School,Frederick,3,9/15/2021,15:00:00+00
St. Margaret School,St. Margaret School,Harford,2,9/15/2021,15:00:00+00
St. Mark School,St. Mark School,Baltimore,2,9/15/2021,15:00:00+00
St. Paul's Lutheran School,St. Paul's Lutheran School,Anne Arundel,4,9/15/2021,15:00:00+00
St. Philip-Neri School,St. Philip-Neri School,Anne Arundel,3,9/15/2021,15:00:00+00
